章,問題文,日本語1,ラテン語1,日本語2,ラテン語2,日本語3,ラテン語3,日本語4,ラテン語4,日本語5,ラテン語5,日本語6,ラテン語6
§17,"生体では短母指伸筋と長母指指外転筋の腱(とその滑液鞘)伸筋支帯の第 1 管を通る所で反復して圧迫を受けやすく、特に中年の女性で疼痛や腫脹を起こすことがあり、これを [ 1 ] といい、 [ 2 ] 、 [ 3 ] などがその代表的なものである",狭窄性腱鞘炎,radial styloid tendovaginitis,ド・ケルヴァン病,de Quervain disease,ばね指,trigger finger,,,,,,
§17,"長母指伸筋腱と短母指伸筋腱の間には、生体で両筋を収縮させた場合に手首の近くで舟状の凹み( [ 1 ] )を生じる",タバチエール,tabatiére,,,,,,,,,,
§17,"手首の掌側から手背側に回ってきた [ 1 ] がタバチエールの底面の奥深くに達し、これを末梢にたどると長母指伸筋の腱の下を通って再び掌側に向かっている",橈骨動脈,a.radialis,,,,,,,,,,
§17,"短母指伸筋と長母指外転筋の筋腹の下層を通り、滑液鞘に包まれながら伸筋支帯の第 2 管をくぐる腱が [ 1 ] で共に外側上顆から起こり、前者は第 2 中手骨に、後者は第 3 中手骨に停止している",長・短橈側手根伸筋,m.extensor carpi radialis longus et brevis,,,,,,,,,,
§17,"長・短橈側手根伸筋のすぐ橈側に橈骨に停止する [ 1 ] が存在する",腕橈骨筋,m.brachioradialis,,,,,,,,,,
§17,"前腕の上半部で短橈側手根伸筋と指伸筋のそれぞれの筋腹の間を深く分け入ると、短母指伸筋の上の方に [ 1 ] が見え、これを貫いて出てくるのが橈骨神経 [ 2 ] (の深枝 [ 3 ] ) から分かれる [ 4 ] であり、これが末梢にて前腕の伸筋群全てに枝を与え、この神経にほぼ伴行して走る動脈が [ 5 ] (尺骨動脈の枝)とその枝である",回外筋,m.supinator,,n.radialis,,r.profundus,後骨間神経,n.interosseus posterior,後骨間動脈,a.interossea posterior,,
§17,"はいだ [ 1 ] の根本である [ 2 ] のへりは薄く不規則なギザギザがある",爪,unguis,爪根,radix unguis,,,,,,,,
§17,"[ 1 ] は遺体では白いコールテンのような外観を呈し、爪の表面の縦溝に相当して溝と稜線が並んでいる",爪床,matrix unguis,,,,,,,,,,
§17,"【手掌と足底の皮膚の特徴①】 表面に指紋や掌紋という [ 1 ] がある。これは表皮 [ 2 ] の表面にある [ 3 ] と [ 4 ] が一定の流れを作って配列しているため",皮膚紋理,dermatoglyphics,,epidermis,皮膚小稜,cristae cutis,皮膚小溝,sulci cutis,,,,
§17,"【手掌と足底の皮膚の特徴②】 表皮の [ 1 ] が厚いこと",角質層,stratum corneum,,,,,,,,,,
§17,"【手掌と足底の皮膚の特徴③】 [ 1 ] と [ 2 ] がないこと",毛,pili,脂腺,gll.sebaceae,,,,,,,,
§17,"【手掌と足底の皮膚の特徴④】 [ 1 ] が豊富なこと",汗腺,gll.sudoriferae,,,,,,,,,,
§17,"【手掌と足底の皮膚の特徴⑤】 [ 1 ] によって真皮が下層の腱膜に固く密着している",皮膚支帯,retinacula cutis,,,,,,,,,,
§18,"手掌(手のひら) [ 1 ] の皮膚は上腕や前腕と違って手のひら全体を１枚の大きな皮膚片として剥すのは難しい",,palma manus,,,,,,,,,,
§18,"小指の付け根辺りから手掌の小指側のヘリの近くにある皮膚の高まりを [ 1 ] といい、ここで皮膚をごく薄く剥ぐと皮筋の一種で手掌腱膜の尺側縁から起こり小指球の尺側縁の皮膚に停止する [ 2 ] がある",小指球,hypothenar,短掌筋,m.palmaris brevis,,,,,,,,
§18,"小指を強く外転させる(開く)と短掌筋の収縮による数条のシワが小指球の皮膚の上に観察できる( [ 1 ] )",,palmaris brevis sign,,,,,,,,,,
§18,"手のひらの皮はぎが進むと、その下層に [ 1 ] の腱の続きのように見えて、白く光る [ 2 ] が現れる",長掌筋,m.palmaris longus,手掌腱膜,aponeurosis palmaris,,,,,,,,
§18,"手掌腱膜が瘢痕性萎縮を起こしたものが [ 1 ] である",デュプュイトラン拘縮,Dupuytren contracture,,,,,,,,,,
§18,"指先に行く神経の細い枝に果物のようについているのが [ 1 ] ( [ 2 ] )である",層板小体,corpuscula lamellosa,ファーター・パチニ小体,Pacinian corpuscles,,,,,,,,
§19,"母指の付け根近くで手掌の母指がわのへりにある皮膚の高まりである [ 1 ] を覆っている手掌腱膜をはぎ、これの筋を剖出する",母指球,thenar,,,,,,,,,,
§19,"母指球の一番橈側には [ 1 ] があり、この筋は [ 2 ] と屈筋支帯から起こって独立した筋線維の束を作り、 [ 3 ] を経て母指の基節骨の基底に停止する",短母指外転筋,m.abductor pollicis brevis,舟状骨,os scaphoideum,種子骨,os sesamoideum,,,,,,
§19,"短母指外転筋のすぐ尺側で屈筋支帯と手根骨(大・小菱形骨、有頭骨)から起こり、種子骨を経て母指の基節骨基底に停止する筋が [ 1 ] である",短母指屈筋,m.flexor pollicis brevis,,,,,,,,,,
§19,"短母指外転筋を浮かせてその筋腹で切断すると下層には短母指屈筋の深頭が入り込んでおり、橈側寄りにはこれと並んで [ 1 ] がある",母指対立筋,m.opponens pollicis,,,,,,,,,,
§19,"母指球の筋群には更に深層に [ 1 ] がある",母指内転筋,m.adductor pollicis,,,,,,,,,,
§19,"一般に手の指を動かす筋には長・短の 2 種類があり、長筋は [ 1 ] に属し起始と筋腹が手首よりも近位に存在し長い腱が指を動かし、反対に短筋は [ 2 ] に属し起始と筋腹が手首よりも遠位に存在し短い腱が指を動かす",外来筋,extrinsic hand muscles,内在筋,intrinsic hand muscles,,,,,,,,
§19,"内在筋の機能が脱落した状態を [ 1 ] と呼び、逆に内在筋が収縮ないし痙縮した時の状態を [ 2 ] という",内在筋劣位,intrinsic minus,内在筋優位,intrinsic plus,,,,,,,,
§19,"手掌腱膜 [ 1 ] と短掌筋 [ 2 ] とを遠位端から引き剥がすように持ち上げて [ 3 ] の筋を剖出する",,aponeurosis palmaris,,m.palmaris brevis,小指球,hypothenar,,,,,,
§19,"一番尺側には豆状骨 [ 1 ] と屈筋支帯とから起こって、小指の基節骨の基底に停止する [ 2 ] がある",,os pisiforme,小指外転筋,m.abductor digiti minimi,,,,,,,,
§19,"そのすぐ橈側には有鈎骨 [ 1 ] と屈筋支帯から起こって、小指外転筋の腱に移行し、筋腹も癒合しあって共通の腱で小指の基節骨の基底に停止する [ 2 ] が並んでいる",,os hamatum,短小指屈筋,m.flexor digiti minimi brevis,,,,,,,,
§19,"小指外転筋と短小指屈筋とを浮かせるようにして筋腹で切断し、その下に短小指屈筋と共に有鈎骨と屈筋支帯から起こり第 5 中手骨の尺側縁に停止する [ 1 ] が見つかる",小指対立筋,m.opponens digiti minimi,,,,,,,,,,
§19,"物を掴む時に重要な役割をする、母指と小指を向き合せる運動が [ 1 ] といい、これと逆の運動を [ 2 ] という",対立,opposition,復位,reposition,,,,,,,,
§19,"[ 1 ] に近付く運動が [ 2 ] 、遠ざかる運動が [ 3 ] である",正中矢状面,midsagittal plane,内転,adduction,外転,abduction,,,,,,
§19,"手掌腱膜を剥し取り、尺骨動脈 [ 1 ] と尺骨神経 [ 2 ] を前腕の方に辿り、これらに沿って前腕筋膜の残りを切り開く",,a.ulnaris,,n.ulnaris,,,,,,,,
§19,"[ 1 ] は豆状骨のすぐ橈側で屈筋支帯の表層を通り、手掌に入ると浅・深の枝に分かれ、浅い方の枝は中手部で弧を描いて横に走り、母指球の筋群に接して橈骨動脈の細い枝を受けて [ 2 ] というアーチを作っている",尺骨動脈,a.ulnaris,浅掌動脈弓,arcus palmaris superficialis,,,,,,,,
§19,"[ 1 ] は途中まで尺骨動脈とほぼ伴行して手掌に出て、指の方に分散する",尺骨神経,n.ulnaris,,,,,,,,,,
§19,"[ 1 ] に沿って屈筋支帯を切り開きこの神経も末梢へ追究する",正中神経,n.medianus,,,,,,,,,,
§19,"各神経の [ 1 ] は臨床で神経麻痺による手の皮膚の知覚障害を調べる時に必要となる",固有支配域,area of isolated supply,,,,,,,,,,
§19,"[ 1 ] の腱が豆状骨に達することを見る",尺側手根屈筋,m.flexor carpi ulnaris,,,,,,,,,,
§19,"浅・深指屈筋 [ 1 ] と長母指屈筋 [ 2 ] の腱を前腕から辿る。いずれも滑液鞘に包まれながら屈筋支帯の裏で [ 3 ] をくぐって手掌に出てくる。特に浅・深指屈筋の腱と正中神経 [ 4 ] との関係に注意する",,m.flexor digitorum superficialis et profundus,,m.flexor pollicis longus,手根管,carpal tunnel,,n.medianus,,,,
§19,"非常に薄いポリエチレンの膜のような [ 1 ] には浅・深指屈筋の腱を共通に包む大きなものと、長母指屈筋腱だけを包む細長いものがあり、後者は母指の末節まで延びているが前者の広がりが中手部で終わっている",滑液鞘,vagina synovialis,,,,,,,,,,
§19,"第 2～5 指では指の付け根の付近から指先にかけて、浅・深指屈筋の腱を包む [ 1 ] があり、母指でも同様のものが長母指屈筋の腱を包んでいる",線維鞘,vagina fibrosa,,,,,,,,,,
§19,"第 2～4 指では滑液鞘の広がりは線維鞘のそれに一致しているが、小指だけは滑液鞘が手首の滑液鞘にまで連絡していることが多く、母指の指先から滑液鞘を介して小指の指先に炎症( [ 1 ] )が波及する可能性がある",腱鞘炎,tendovaginitis,,,,,,,,,,
§19,"浅・深指屈筋腱を上に持上げると腱を包んでいた滑液鞘の一部が腱の裏側で [ 1 ] となる",腱間膜,mesotendineum,,,,,,,,,,
§19,"深指屈筋の腱のそれぞれ橈側からは円柱状の小さな筋である [ 1 ] が起こり、4 個のそれぞれは第 2～5 の橈側でぐるりと背側に回り、背の背面で指伸筋の腱膜に停止している(腱から起こって別の腱に停止する)",虫様筋,mm.lumbricales,,,,,,,,,,
§19,"虫様筋は第 2～5 指の基節を曲げ、中節と末節を伸ばす状態を [ 1 ] という",,lumbrical position,,,,,,,,,,
§20,"深指屈筋 [ 1 ] と長母指屈筋 [ 2 ] を前腕中央部の筋腹で切断し、下端部をめくり返すと [ 3 ] と [ 4 ] がさらによく見える",,m.flexor digitorum profundus,,m.flexor pollicis longus,前骨間動脈,a.interossea anterior,前骨間神経,n.interosseus anterior,,,,
§20,"ここで正中神経の枝が分布している [ 1 ] が尺骨下部の前面から起こって橈骨下部の前面に停止することを確かめる",方形回内筋,m.pronator quadratus,,,,,,,,,,
§20,"短母指屈筋 [ 1 ] を筋腹で切って断端をめくり返し、長母指屈筋の腱と深指屈筋の腱とを屈筋支帯の先で切断し、虫様筋と共に指先の方にめくり返して、深層で [ 2 ] を探す",,m.flexor pollicis brevis,母指内転筋,m.adductor pollicis,,,,,,,,
§20,"母指内転筋は 2 頭を持ち、一つは第 3 中手骨から起こって横に走る [ 1 ] で、もう一つは屈筋支帯と第 2・3 中手骨基底から起こって斜めに走る [ 2 ] で、両頭は合して種子骨を介して母指の基節骨の基底に停止している",横頭,caput transversum,斜頭,caput obliquum,,,,,,,,
§20,"母指内転筋の二つの頭をそれぞれ筋腹で切断し、下層に母指内転筋の裏を通って出てくる橈骨動脈の続きと尺骨動脈の深枝で作られている [ 1 ] を求める",深掌動脈弓,arcus palmaris profundus,,,,,,,,,,
§20,"深掌動脈弓の更に奥で、 [ 1 ] と [ 2 ] を剖出する。前者(3 個)は第 2・4・5 中手骨の中指に近い側の表面から起こり、その指の基節骨の基底(の中指に近い側の表面)に停止し、後者(4個)はそれぞれ 2 頭をもって隣接する 2 個の中手骨の側面から起こり、中指ではその基節骨基底の両側縁に停止し、第 2・4 指ではそれぞれの指に基節骨基底の片側縁(中指よりも遠い側の面)に停止している",掌側骨間筋,mm.interossei palmares,背側骨間筋,mm.interossei dorsales,,,,,,,,
§20,"掌側骨間筋も背側骨間筋も尺骨神経で支配され、その筋束の一部は指背で [ 1 ] に付着しており、このことは骨間筋が虫様筋と一緒に指の基節を曲げて中節と末節を伸ばす運動( [ 2 ] )にも関与することを意味している",指伸筋腱膜,extensor expansion,,intrinsic plus position or lumbrical position,,,,,,,,
§20,"指伸筋・示指伸筋・小指伸筋を筋腹で切って断片をめくり返し、その腱の下層で橈骨動脈の手背への枝を追及し、 [ 1 ] の起始を観察し、 [ 2 ] と虫様筋や掌側・背側骨間筋の停止との関係をよく見直す",背側骨間筋,mm.interossei dorsales,指伸筋腱膜,extensor expansion,,,,,,,,
